city,merchant_id,merchant_name,item_id,product_name,live_days,c/d
Durgapur,28809,Super store - Durgapur,10046988,Wonderchef 63152173 Nutriblend Fiber Plastic Fruit & Vegetable Juicer (Red),27,0
Kanpur,27364,Super Store - Kanpur,10046988,Wonderchef 63152173 Nutriblend Fiber Plastic Fruit & Vegetable Juicer (Red),30,0.13333
Delhi,28701,Super Store - Punjabi Bagh,10046988,Wonderchef 63152173 Nutriblend Fiber Plastic Fruit & Vegetable Juicer (Red),30,0
Mumbai,28775,Super Store - Bhiwandi,10016860,Godrej aer Pocket Bathroom Fragrance - Bright Tangy Delight,10,0
Delhi,28730,Super Store - Okhla,10016860,Godrej aer Pocket Bathroom Fragrance - Bright Tangy Delight,7,1.28571
Delhi,28701,Super Store - Punjabi Bagh,10016860,Godrej aer Pocket Bathroom Fragrance - Bright Tangy Delight,7,0
UP-NCR,26511,Super Store - Noida,10016860,Godrej aer Pocket Bathroom Fragrance - Bright Tangy Delight,30,2.03333
Mumbai,26219,Super Store - Chembur,10003292,Veet Lotus Milk & Jasmine Fragrance Hair Removal Cream (Normal Skin),30,6.23333
Delhi,28738,Super Store - Mandawali,10003292,Veet Lotus Milk & Jasmine Fragrance Hair Removal Cream (Normal Skin),14,20.07143
